time,probabilityLeft,trial_after_switch,transition_from,contrast,Feedback_type,Stim_side,diameter,baseline_subtracted,trial
-1.0,0.2,0,0.5,-0.25,1.0,-1,25.57428126532078,-14.751421255318686,90.0
-1.0,0.2,0,0.5,1.0,1.0,1,66.62936383321575,8.000304522106717,90.0
-1.0,0.2,0,0.8,-0.125,1.0,-1,54.994788641776566,39.79526052447979,736.0
-1.0,0.2,0,0.8,-0.0,-1.0,1,50.58462837668185,16.479231108998412,559.0
-1.0,0.2,0,0.8,0.0625,-1.0,1,32.30737951600866,9.832454624439894,462.0
-1.0,0.2,0,0.8,0.125,-1.0,1,16.990862929264026,10.629316323671892,417.0
-1.0,0.2,0,0.8,0.125,1.0,1,52.47102599808886,22.405718792142526,330.0
-1.0,0.2,0,0.8,0.25,-1.0,1,52.1788079240265,0.7084858963573287,284.3333333333333
-1.0,0.2,0,0.8,0.25,1.0,1,44.18857533267692,2.0876244312389147,122.0
-1.0,0.2,0,0.8,1.0,1.0,1,9.44669343964021,1.9700687228773883,371.75
-1.0,0.2,1,0.5,0.0625,1.0,1,54.671134136720475,20.69815039486586,91.0
-1.0,0.2,1,0.8,-1.0,1.0,-1,14.328801109471565,-4.549525549927166,295.0
-1.0,0.2,1,0.8,-0.0,-1.0,1,59.479553370312345,10.952145396067564,331.0
-1.0,0.2,1,0.8,0.0625,-1.0,1,14.875567657831773,-5.44125834597891,428.0
-1.0,0.2,1,0.8,0.125,-1.0,1,43.92373642897765,-2.2179891176345166,560.0
-1.0,0.2,1,0.8,0.125,1.0,1,17.643112736525765,3.1733468811534937,421.0
-1.0,0.2,1,0.8,0.25,1.0,1,17.96772676110687,-0.48137470393402604,322.6
-1.0,0.2,1,0.8,1.0,1.0,1,19.068444628653864,8.744173398193443,472.5
-1.0,0.2,2,0.5,-0.0,1.0,1,33.133005001110575,-14.663768375068798,92.0
-1.0,0.2,2,0.5,0.0625,1.0,1,61.15924188171177,2.00439020900847,92.0
-1.0,0.2,2,0.8,-1.0,1.0,-1,46.441307013500435,17.08580950588613,520.0
-1.0,0.2,2,0.8,-0.125,-1.0,-1,15.236582083251225,4.804353260877704,448.0
-1.0,0.2,2,0.8,-0.0,-1.0,1,54.91319942005197,7.576377238484561,428.5
-1.0,0.2,2,0.8,0.0625,-1.0,1,66.41957726524441,0.32699487201853117,211.0
-1.0,0.2,2,0.8,0.0625,1.0,1,19.733684127584045,2.852245146634146,263.5
-1.0,0.2,2,0.8,0.125,-1.0,1,54.9095776317904,27.377759680207205,632.0
-1.0,0.2,2,0.8,0.125,1.0,1,14.120950813292708,7.393484639005983,124.0
-1.0,0.2,2,0.8,0.25,1.0,1,9.504535229407033,1.754916975829289,332.0
-1.0,0.2,2,0.8,1.0,-1.0,1,-0.6980152289255727,-17.30828254735717,419.0
-1.0,0.2,2,0.8,1.0,1.0,1,24.50432159910954,-5.670539727383487,462.0
-1.0,0.2,3,0.5,0.0625,-1.0,1,62.25461648921845,7.692819043631957,93.0
-1.0,0.2,3,0.5,1.0,1.0,1,49.25163261028271,17.84728135855851,93.0
-1.0,0.2,3,0.8,-1.0,1.0,-1,17.977806673818932,-1.173279557911659,449.0
-1.0,0.2,3,0.8,-0.25,1.0,-1,26.818379120728554,1.866432720525598,210.0
-1.0,0.2,3,0.8,-0.125,1.0,-1,21.387057603167726,1.2660185438413905,562.0
-1.0,0.2,3,0.8,-0.0625,1.0,-1,8.891128477209168,6.482918727592075,633.0
-1.0,0.2,3,0.8,-0.0,-1.0,1,8.078655331185988,7.079913762896969,739.0
-1.0,0.2,3,0.8,-0.0,1.0,1,19.07886105750243,-9.151411577645167,168.5
-1.0,0.2,3,0.8,0.0625,1.0,1,60.71716985962975,9.48593249261502,333.0
-1.0,0.2,3,0.8,0.125,-1.0,1,31.704267023436607,1.1350930142927176,420.0
-1.0,0.2,3,0.8,0.125,1.0,1,23.282455883383975,3.1809787948273702,350.0
-1.0,0.2,3,0.8,1.0,1.0,1,30.426308939262775,8.64896646606601,368.5
-1.0,0.2,4,0.5,-0.125,1.0,-1,42.07686793038526,-2.1282187244072333,94.0
-1.0,0.2,4,0.5,1.0,1.0,1,41.709160589394244,14.110426987846925,94.0
-1.0,0.2,4,0.8,-0.125,-1.0,-1,-4.307943699959548,-15.639583897309612,317.0
-1.0,0.2,4,0.8,-0.125,1.0,-1,14.047227754234314,-2.778300619908592,126.0
-1.0,0.2,4,0.8,-0.0,1.0,1,49.65156580415328,-2.8154374013601355,563.0
-1.0,0.2,4,0.8,0.0625,-1.0,1,-6.578184349572597,-3.565307673080653,421.0
-1.0,0.2,4,0.8,0.0625,1.0,1,53.254057475097795,13.012084798366764,256.0
-1.0,0.2,4,0.8,0.125,1.0,1,31.545124277101404,-1.5839505412304185,414.4
-1.0,0.2,4,0.8,0.25,1.0,1,13.04809225656031,1.027504927039625,631.0
-1.0,0.2,4,0.8,1.0,1.0,1,47.16215408271428,7.74228982865624,211.0
-1.0,0.2,5,0.5,0.0625,1.0,1,39.97511854135142,20.199857521000194,95.0
-1.0,0.2,5,0.5,0.25,1.0,1,48.10473052543087,-5.492304624260328,95.0
-1.0,0.2,5,0.8,-0.25,1.0,-1,37.01036104706901,-2.5662353465975087,523.0
-1.0,0.2,5,0.8,-0.0625,-1.0,-1,36.00011451015664,12.856426484388319,564.0
-1.0,0.2,5,0.8,-0.0625,1.0,-1,57.74935586313837,23.37547957004687,212.0
-1.0,0.2,5,0.8,-0.0,1.0,1,6.769114469713225,-10.843563079939779,318.0
-1.0,0.2,5,0.8,0.0625,1.0,1,39.6694474261975,4.27657244390151,324.75
-1.0,0.2,5,0.8,0.125,1.0,1,25.85994145281305,3.9411333067215986,530.3333333333334
-1.0,0.2,5,0.8,0.25,1.0,1,57.44404893978745,-0.5648191748298572,274.5
-1.0,0.2,5,0.8,1.0,1.0,1,50.92834191340205,23.761912918816876,442.0
-1.0,0.2,6,0.5,-1.0,1.0,-1,66.52292540209905,10.999284862756511,96.0
-1.0,0.2,6,0.5,0.125,1.0,1,50.126389511257166,6.228590014957128,96.0
-1.0,0.2,6,0.8,-1.0,1.0,-1,27.902361772265632,-4.030614746953606,636.0
-1.0,0.2,6,0.8,-0.25,1.0,-1,43.85145732490614,16.586799473276585,300.0
-1.0,0.2,6,0.8,0.0625,-1.0,1,20.804631666123868,-8.092025392870553,565.0
-1.0,0.2,6,0.8,0.0625,1.0,1,36.47109428916733,6.2564657819792835,524.0
-1.0,0.2,6,0.8,0.125,1.0,1,35.39839614079811,10.886110526185703,281.2
-1.0,0.2,6,0.8,0.25,1.0,1,29.979592177283884,-7.725707451368358,290.0
-1.0,0.2,6,0.8,1.0,-1.0,1,102.93714331418204,23.763676458797264,423.0
-1.0,0.2,6,0.8,1.0,1.0,1,45.86353132844965,3.4269498394662534,539.0
-1.0,0.2,7,0.5,0.125,1.0,1,60.82513414821237,1.694324400484149,97.0
-1.0,0.2,7,0.5,1.0,1.0,1,14.083509805673152,-6.744846041967655,97.0
-1.0,0.2,7,0.8,-0.25,1.0,-1,38.85302191189827,12.779656600971652,540.5
-1.0,0.2,7,0.8,-0.0,-1.0,-1,52.242519374040455,20.729004524123663,214.0
-1.0,0.2,7,0.8,0.0625,1.0,1,36.417980827408925,-6.331957325717675,221.66666666666666
-1.0,0.2,7,0.8,0.125,-1.0,1,81.00366689017284,66.6637857071612,424.0
-1.0,0.2,7,0.8,0.125,1.0,1,14.251483143531726,-7.678173416127567,566.0
-1.0,0.2,7,0.8,0.25,1.0,1,17.828099887022738,7.929931541662868,495.0
-1.0,0.2,7,0.8,1.0,1.0,1,59.67447411184387,10.826492269968947,363.6666666666667
-1.0,0.2,8,0.5,1.0,1.0,1,38.923154968900036,9.868926208522865,98.0
-1.0,0.2,8,0.8,-0.125,1.0,-1,23.153468413313117,6.947201212062236,480.5
-1.0,0.2,8,0.8,-0.0625,1.0,-1,18.569712139647905,6.1868441519426725,638.0
-1.0,0.2,8,0.8,-0.0,-1.0,1,11.891577698777336,-4.081994574020918,425.0
-1.0,0.2,8,0.8,0.0625,1.0,1,43.00621048195418,18.380679801092985,374.3333333333333
-1.0,0.2,8,0.8,0.125,1.0,1,25.077506956660955,2.496917152431286,379.0
-1.0,0.2,8,0.8,0.25,1.0,1,29.79194250007057,-12.279990492703654,216.0
-1.0,0.2,8,0.8,1.0,1.0,1,24.26796568728809,-11.27158430426828,445.0
-1.0,0.2,9,0.5,0.25,1.0,1,28.543253589324024,14.263769345724508,99.0
-1.0,0.2,9,0.5,1.0,1.0,1,91.68631963069475,-2.3355303062711243,99.0
-1.0,0.2,9,0.8,-1.0,1.0,-1,56.003202134213055,23.105611599442398,371.5
-1.0,0.2,9,0.8,-0.125,1.0,-1,92.63968074019263,-8.890172081395434,426.0
-1.0,0.2,9,0.8,-0.0625,1.0,-1,65.50365226662501,14.432532805832238,303.0
-1.0,0.2,9,0.8,-0.0,1.0,1,7.455266571877172,-14.91848254590455,131.0
-1.0,0.2,9,0.8,0.125,-1.0,1,7.9738150738643885,9.220124507904442,745.0
-1.0,0.2,9,0.8,0.125,1.0,1,49.740262375766235,16.77813122375137,454.0
-1.0,0.2,9,0.8,0.25,-1.0,1,61.49948937111978,3.1958183871248735,446.0
-1.0,0.2,9,0.8,1.0,1.0,1,13.615766764326455,3.268179674567066,349.5
-1.0,0.2,10,0.5,-0.0,1.0,1,72.62898222784113,16.911167162158073,100.0
-1.0,0.2,10,0.8,-1.0,1.0,-1,27.914805976855344,1.6852785318804742,569.0
-1.0,0.2,10,0.8,-0.125,1.0,-1,39.51943557308578,0.7957497718727851,340.0
-1.0,0.2,10,0.8,-0.0625,1.0,-1,42.9260855567414,-5.441799031292987,447.0
-1.0,0.2,10,0.8,-0.0,-1.0,1,62.7912041469381,10.574563329774726,427.0
-1.0,0.2,10,0.8,-0.0,1.0,1,41.19973907656473,2.960964986735984,297.3333333333333
-1.0,0.2,10,0.8,0.0625,-1.0,1,11.739176846434571,10.369890478848262,640.0
-1.0,0.2,10,0.8,0.0625,1.0,1,50.552110765880116,24.751063448129145,416.0
-1.0,0.2,10,0.8,0.125,1.0,1,24.7052581956766,0.121485264938201,220.0
-1.0,0.2,10,0.8,1.0,1.0,1,36.72143688610789,12.33689980712527,400.3333333333333
-1.0,0.2,11,0.5,0.125,1.0,1,74.14872979786406,22.29601080647705,101.0
-1.0,0.2,11,0.5,1.0,1.0,1,32.76727557888945,9.138740901403974,101.0
-1.0,0.2,11,0.8,-0.125,1.0,-1,46.84766683854876,16.937645625350406,218.0
-1.0,0.2,11,0.8,-0.0625,1.0,-1,56.52903467410266,6.482330205680135,220.0
-1.0,0.2,11,0.8,-0.0,1.0,1,51.11693239210316,20.416417928474587,305.0
-1.0,0.2,11,0.8,0.0625,-1.0,1,30.103998599325973,-33.10264063496636,428.0
-1.0,0.2,11,0.8,0.0625,1.0,1,31.6350037376485,3.610584316450627,390.5
-1.0,0.2,11,0.8,0.125,1.0,1,18.83042531906674,14.791238085144416,638.0
-1.0,0.2,11,0.8,0.25,1.0,1,32.04105630915152,5.068150606777127,412.75
-1.0,0.2,11,0.8,1.0,1.0,1,24.952386987008516,2.3972950840038276,351.5
-1.0,0.2,12,0.5,0.125,-1.0,1,56.896223825886224,-4.537654283811577,102.0
-1.0,0.2,12,0.5,1.0,1.0,1,81.93691291045363,6.947717902187605,102.0
-1.0,0.2,12,0.8,-0.25,1.0,-1,21.732622744476963,-21.56766348514072,325.0
-1.0,0.2,12,0.8,-0.125,1.0,-1,37.94904160752431,14.808267174852944,342.0
-1.0,0.2,12,0.8,-0.0,1.0,1,34.336369993646684,3.474884447053931,352.5
-1.0,0.2,12,0.8,0.0625,-1.0,1,35.70439700806005,3.1728070530146155,449.0
-1.0,0.2,12,0.8,0.0625,1.0,1,48.525229250550126,30.684876894004095,431.5
