time,probabilityLeft,trial_after_switch,transition_from,contrast,Feedback_type,Stim_side,diameter,baseline_subtracted,trial
-1.0,0.2,0,0.5,-0.25,1.0,-1,16.817010116854753,-1.906255707162515,90.0
-1.0,0.2,0,0.5,1.0,1.0,1,-0.8169263583225215,-14.261629072258827,90.0
-1.0,0.2,0,0.8,-0.0,-1.0,1,20.64260331186196,5.4123755634326525,559.0
-1.0,0.2,0,0.8,0.0625,-1.0,1,-7.822275639488179,-21.475677989074228,294.0
-1.0,0.2,0,0.8,0.125,1.0,1,40.55248137891518,-6.8199727833345385,373.5
-1.0,0.2,0,0.8,0.25,-1.0,1,10.177669121428806,0.7234418564480514,437.0
-1.0,0.2,0,0.8,0.25,1.0,1,24.918708200621015,-8.807650904951043,263.25
-1.0,0.2,0,0.8,1.0,1.0,1,33.031469646652454,1.8247806938491768,371.75
-1.0,0.2,1,0.5,0.0625,1.0,1,25.806897974632307,5.065901933982381,91.0
-1.0,0.2,1,0.8,-1.0,1.0,-1,3.8752517350254942,6.046860821380632,295.0
-1.0,0.2,1,0.8,-0.0,-1.0,1,13.155044898096982,-7.994708457876321,331.0
-1.0,0.2,1,0.8,0.0625,-1.0,1,67.35580368691762,18.46245166325636,418.0
-1.0,0.2,1,0.8,0.0625,1.0,1,22.55735471558523,4.467101022716337,477.0
-1.0,0.2,1,0.8,0.125,1.0,1,28.09444144089477,6.748918622893318,385.5
-1.0,0.2,1,0.8,0.25,1.0,1,37.65236110176627,-2.0714758635433475,322.6
-1.0,0.2,1,0.8,1.0,1.0,1,43.5830786464977,9.726922596619985,208.0
-1.0,0.2,2,0.5,-0.0,1.0,1,21.448587809704314,1.5602394843974423,92.0
-1.0,0.2,2,0.5,0.0625,1.0,1,28.64537411557732,-5.5918187077523385,92.0
-1.0,0.2,2,0.8,-1.0,1.0,-1,49.83041599362066,7.124687812891075,518.5
-1.0,0.2,2,0.8,-0.125,1.0,-1,22.0385040876956,0.22305437472775935,448.0
-1.0,0.2,2,0.8,-0.0,-1.0,1,7.2449784496639245,-37.21339403133391,296.0
-1.0,0.2,2,0.8,-0.0,1.0,1,16.144164767886636,1.017388161093109,561.0
-1.0,0.2,2,0.8,0.0625,1.0,1,38.53881256134213,10.16510110222695,246.0
-1.0,0.2,2,0.8,0.125,-1.0,1,50.98060058822607,4.347384152922665,124.0
-1.0,0.2,2,0.8,0.25,1.0,1,18.581036879013332,-0.23180695815105423,332.0
-1.0,0.2,2,0.8,1.0,1.0,1,28.221769882347544,3.752699290437292,355.6666666666667
-1.0,0.2,3,0.5,0.0625,1.0,1,38.07549439476611,3.0041419452752294,93.0
-1.0,0.2,3,0.5,1.0,1.0,1,27.165038742348102,4.570593683986431,93.0
-1.0,0.2,3,0.8,-1.0,1.0,-1,30.48327847909128,9.454384477474656,483.5
-1.0,0.2,3,0.8,-0.25,1.0,-1,30.861519302819865,6.896096242385681,210.0
-1.0,0.2,3,0.8,-0.125,-1.0,-1,4.073525170591259,-39.260893238764204,562.0
-1.0,0.2,3,0.8,-0.0,-1.0,1,16.809123786529724,8.448629721610326,168.5
-1.0,0.2,3,0.8,0.0625,1.0,1,40.78299256310024,23.155854645356108,333.0
-1.0,0.2,3,0.8,0.125,-1.0,1,46.642090787623644,9.89460085692459,521.0
-1.0,0.2,3,0.8,0.125,1.0,1,41.17547828226513,14.327264390480257,316.3333333333333
-1.0,0.2,3,0.8,1.0,1.0,1,27.75180217208342,2.2831959008196385,368.5
-1.0,0.2,4,0.5,-0.125,1.0,-1,25.49125375886106,-2.735996557108745,94.0
-1.0,0.2,4,0.5,1.0,1.0,1,11.769342706091553,-9.572821991643405,94.0
-1.0,0.2,4,0.8,-0.125,-1.0,-1,37.682699582620444,9.595295736195435,317.0
-1.0,0.2,4,0.8,-0.125,1.0,-1,32.404619504665156,6.404696357333918,126.0
-1.0,0.2,4,0.8,-0.0,1.0,1,24.59767619190916,8.03616668447797,563.0
-1.0,0.2,4,0.8,0.0625,-1.0,1,21.588128703999196,-16.982374619147418,359.5
-1.0,0.2,4,0.8,0.0625,1.0,1,32.43457348153248,2.6750813363934007,366.5
-1.0,0.2,4,0.8,0.125,1.0,1,21.7255289663712,-2.9080235856688663,359.5
-1.0,0.2,4,0.8,0.25,1.0,1,30.74964337617948,0.5282535066927672,522.0
-1.0,0.2,4,0.8,1.0,1.0,1,27.045450048039452,5.856025947487563,211.0
-1.0,0.2,5,0.5,0.0625,1.0,1,15.644651951281446,6.127180520172871,95.0
-1.0,0.2,5,0.5,0.25,1.0,1,40.61330744799719,9.934541602197164,95.0
-1.0,0.2,5,0.8,-0.25,-1.0,-1,25.397718336550554,12.033481190439971,520.0
-1.0,0.2,5,0.8,-0.25,1.0,-1,45.76923005993535,7.420146371936596,523.0
-1.0,0.2,5,0.8,-0.0625,-1.0,-1,28.817046681435535,-1.3219834157480506,564.0
-1.0,0.2,5,0.8,-0.0625,1.0,-1,29.029419641380294,-1.8680277654826227,212.0
-1.0,0.2,5,0.8,-0.0,1.0,1,19.828464035693077,4.228851284871064,318.0
-1.0,0.2,5,0.8,0.0625,-1.0,1,54.17272628375569,9.629503936317413,289.0
-1.0,0.2,5,0.8,0.0625,1.0,1,11.775553216313412,3.2564274550447663,360.5
-1.0,0.2,5,0.8,0.125,1.0,1,37.93649037152503,-1.3058390289742263,215.0
-1.0,0.2,5,0.8,0.25,1.0,1,29.531908567280304,-2.0499792080784296,274.5
-1.0,0.2,5,0.8,1.0,1.0,1,-1.4607722268433063,4.735569573249973,442.0
-1.0,0.2,6,0.5,-1.0,1.0,-1,15.710820624654428,-8.9034094668102,96.0
-1.0,0.2,6,0.5,0.125,1.0,1,49.154072382515565,17.610306267738537,96.0
-1.0,0.2,6,0.8,-0.25,1.0,-1,19.055936724926532,-14.694555587546212,300.0
-1.0,0.2,6,0.8,0.0625,-1.0,1,38.47931043002704,5.840022569248006,524.0
-1.0,0.2,6,0.8,0.0625,1.0,1,12.68151224444543,0.10660657443978039,565.0
-1.0,0.2,6,0.8,0.125,1.0,1,33.65789116836778,9.376043125691263,281.2
-1.0,0.2,6,0.8,0.25,1.0,1,17.86167617005997,2.6161304506962937,367.0
-1.0,0.2,6,0.8,1.0,1.0,1,23.44199441996811,-1.378275479313606,379.5
-1.0,0.2,7,0.5,0.125,1.0,1,43.22079762495653,6.032845933013569,97.0
-1.0,0.2,7,0.5,1.0,1.0,1,17.109685485172086,6.7165635329462585,97.0
-1.0,0.2,7,0.8,-0.25,-1.0,-1,15.77052721350536,21.931127732077293,444.0
-1.0,0.2,7,0.8,-0.0,-1.0,-1,32.21563520610582,6.422072502062058,214.0
-1.0,0.2,7,0.8,0.0625,1.0,1,36.71346944808599,3.564073415480491,221.66666666666666
-1.0,0.2,7,0.8,0.125,1.0,1,31.84505469583854,1.4777263426299463,495.0
-1.0,0.2,7,0.8,0.25,-1.0,1,40.80653481157819,5.883449115412873,217.0
-1.0,0.2,7,0.8,0.25,1.0,1,24.482569011138335,0.49272282542191803,525.0
-1.0,0.2,7,0.8,1.0,1.0,1,24.98199356330083,-2.4625469828176785,403.25
-1.0,0.2,8,0.5,1.0,1.0,1,30.27820404353239,12.809733844932236,98.0
-1.0,0.2,8,0.8,-0.125,1.0,-1,33.4712275849015,6.597395356025984,217.0
-1.0,0.2,8,0.8,-0.0,1.0,1,33.63467926531371,6.341822812888438,425.0
-1.0,0.2,8,0.8,0.0625,1.0,1,34.6397558594713,6.475778811007046,374.3333333333333
-1.0,0.2,8,0.8,0.125,1.0,1,39.99751980408146,3.6178402375787355,379.0
-1.0,0.2,8,0.8,0.25,1.0,1,45.20831706729709,14.256480303974302,318.3333333333333
-1.0,0.2,8,0.8,1.0,1.0,1,11.296991877720403,3.2853035102275943,445.0
-1.0,0.2,9,0.5,0.25,1.0,1,24.501546618705046,1.185517739263691,99.0
-1.0,0.2,9,0.5,1.0,1.0,1,23.836172996049157,0.033059921458772124,99.0
-1.0,0.2,9,0.8,-1.0,1.0,-1,32.31769914323827,7.247563108452759,371.5
-1.0,0.2,9,0.8,-0.125,-1.0,-1,22.86597170231161,7.180898065296713,426.0
-1.0,0.2,9,0.8,-0.0625,-1.0,-1,23.67063798252542,12.681048770286447,303.0
-1.0,0.2,9,0.8,-0.0,1.0,1,42.58959809891075,11.407825312292523,131.0
-1.0,0.2,9,0.8,0.0625,1.0,1,9.04122901209177,-16.019937670884914,524.0
-1.0,0.2,9,0.8,0.125,-1.0,1,44.9421890643066,9.620338386298116,455.0
-1.0,0.2,9,0.8,0.125,1.0,1,17.754256786478553,7.416276086982424,453.5
-1.0,0.2,9,0.8,0.25,1.0,1,34.574744223522,15.484999325259118,446.0
-1.0,0.2,9,0.8,1.0,1.0,1,42.868789683119566,11.966626474820709,253.0
-1.0,0.2,10,0.5,-0.0,1.0,1,22.06722494778184,0.4341011834073809,100.0
-1.0,0.2,10,0.8,-1.0,1.0,-1,47.1449771669189,-20.526283220237524,569.0
-1.0,0.2,10,0.8,-0.125,-1.0,-1,11.704358120986921,-3.2478424940184745,340.0
-1.0,0.2,10,0.8,-0.0625,-1.0,-1,9.791002913511665,2.162224693084495,447.0
-1.0,0.2,10,0.8,-0.0,-1.0,1,12.94526264648395,-0.48526010814282117,456.0
